경도,위도,원격제어,관리기관1,관리기관2,보호대상구분,보호대상물,설치년도,시도,시군구,상세주소
128.28144,36.27975,가능,경상북도,구미시,휴양림,옥성자연휴양림,2019,경상북도,구미시,옥성면 주아리 산145-1
128.8105,36.70288,가능,경상북도,안동시,문화재,한국국학진흥원(장판각),2020,경상북도,안동시,도산면 서부리 220
129.30025,36.5992,가능,경상북도,영덕군,전통사찰,장육사,2020,경상북도,영덕군,창수면 갈천리 120
127.98192,35.88958,가능,경상북도,김천시,휴양림,수도산자연휴양림,2021,경상북도,김천시,대덕면 추량리 산141
128.60722,35.46729,불가능,경상남도,밀양시,문화재,대법사,2012,경상남도,밀양시,무안면 중산리 1128-1
127.91957,35.59839,불가능,경상남도,거창군,문화재,연수사,2012,경상남도,거창군,남상면 무촌리 산312
128.19382,35.2002,불가능,경상남도,진주시,목재체험장,월아산우드랜드 목재문화체험장,2012,경상남도,진주시,진성면 동산리 산134
127.92157,35.08356,불가능,경상남도,사천시,문화재,다솔사,2013,경상남도,사천시,곤명면 용산리 11
128.05302,35.66958,불가능,경상남도,합천군,휴양림,오도산자연휴양림,2013,경상남도,합천군,봉산면 압곡리 산152
128.05302,35.66958,불가능,경상남도,합천군,휴양림,오도산자연휴양림,2013,경상남도,합천군,봉산면 압곡리 산152
127.7413,35.12908,불가능,경상남도,하동군,휴양림,구재봉자연휴양림(2셋트),2014,경상남도,하동군,적량면 서리 산276
128.34,35.3247,불가능,경상남도,창녕군,휴양림,화왕산자연휴양림,2014,경상남도,창녕군,고암면 청간길 128-126
127.71617,35.58192,가능,경상남도,함양군,휴양림,대봉산자연휴양림,2015,경상남도,함양군,병곡면 병곡지곡로 333
127.6088,35.28341,불가능,경상남도,하동군,문화재,칠불사,2016,경상남도,하동군,화개면 범왕리 1605
129.21105,35.41464,불가능,경상남도,양산시,휴양림,대운산자연휴양림,2016,경상남도,양산시,용당동 산66
127.71468,35.58776,가능,경상남도,함양군,휴양림,산삼휴양밸리,2016,경상남도,함양군,병곡면 광평리 산22
127.70885,35.58485,가능,경상남도,함양군,휴양림,대봉산생태숲,2016,경상남도,함양군,병곡면 광평리 산22
128.395387,34.944265,불가능,경상남도,통영시,문화재,안정사,2017,경상남도,통영시,광도면 안정리 1888
128.62609,34.78411,불가능,경상남도,거제시,휴양림,거제자연휴양림,2017,경상남도,거제시,동부면 구천리 산103
129.06433,35.50142,가능,경상남도,양산시,문화재,통도사(축서암),2018,경상남도,양산시,하북면 지산리 산83-1
127.78947,35.72913,불가능,경상남도,금원산산림자원관리소,휴양림,금원산자연휴양림,2018,경상남도,거창군,위천면 상천리 산61-1
127.82386,35.43489,불가능,경상남도,산청군,휴양림,동의보감촌산청한방자연휴양림,2019,경상남도,산청군,금서면 특리 산79-4
129.20715,35.41651,가능,경상남도,양산시,생태숲,대운산생태숲,2020,경상남도,양산시,용당동 산66-2
127.67893,35.59071,가능,경상남도,함양군,휴양림,대봉캠핑랜드,2020,경상남도,함양군,병곡면 원산리 산1-4
127.78678,35.7267,불가능,경상남도,금원산산림자원관리소,휴양림,금원산자연휴양림,2021,경상남도,거창군,위천면 상천리 산61-1
128.60963,34.85869,가능,경상남도,거제시,공원,숲소리공원,2021,경상남도,거제시,거제면 서상리 산13
126.35874,33.36277,불가능,제주특별자치도,제주시,공원,제주들불축제장,2015,제주특별자치도,제주시,애월읍 봉성리 산59-8
126.45879,33.31189,가능,제주특별자치도,서귀포시,휴양림,서귀포자연휴양림,2021,제주특별자치도,서귀포시,대포동 산 1-8
128.82924,37.64028,불가능,북부지방산림청,홍천관리소,모델숲,매화산모델숲#1,2012,강원특별자치도,홍천군,홍천읍 상오안리 산2
127.83078,37.64436,불가능,북부지방산림청,홍천관리소,모델숲,매화산모델숲#2,2012,강원특별자치도,홍천군,홍천읍 상오안리 산2
128.289,37.53644,불가능,북부지방산림청,홍천관리소,휴양림,숲체원,2013,강원특별자치도,횡성군,둔내면 삽교리 산1-3
128.343404,38.237873,불가능,북부지방산림청,인제관리소,휴양림,용대자연휴양림,2014,강원특별자치도,인제군,북면 연화동길 251
126.943554,37.77238,불가능,북부지방산림청,서울관리소,휴양림,아세안자연휴양림,2016,경기도,양주시,백석읍 기산리 산103-1
127.603126,38.312501,불가능,북부지방산림청,민북관리소,DMZ,2군단 15사단,2017,강원특별자치도,철원군,원남면 진현리 산47-1 외 2
126.699861,37.913329,불가능,북부지방산림청,서울관리소,DMZ,파주도라대대,2017,경기도,파주시,장단면 도라산리 산29
127.065798,37.684616,불가능,북부지방산림청,서울관리소,공원,수락산 일대,2018,서울특별시,노원구,상계동 산1-2
127.081073,37.654657,불가능,북부지방산림청,서울관리소,공원,불암산(나비정원 일대),2018,서울특별시,노원구,중계동 산101-1
127.084725,37.661352,불가능,북부지방산림청,서울관리소,공원,불암산(정암사 일대),2018,서울특별시,노원구,중계동 산101-1
126.756343,37.957794,불가능,북부지방산림청,서울관리소,DMZ,파주 백학대대,2018,경기도,파주시,군내면 방목리
127.304239,38.309617,불가능,북부지방산림청,민북관리소,DMZ,3군단 6사단,2018,경기도,철원군,동송면 이길리 산230
126.961668,37.583816,불가능,북부지방산림청,서울관리소,공원,인왕산일대,2019,서울특별시,종로구,옥인동 산3-41
127.771007,37.98085,불가능,북부지방산림청,춘천관리소,휴양림,춘천숲체원,2020,강원특별자치도,춘천시,신북읍 발산리 산32-1
128.193039,38.348066,불가능,북부지방산림청,민북관리소,DMZ,3군단 12사단 초소,2020,강원특별자치도,인제군,서화면 서화리 산162 외 2
126.97443,37.596151,가능,북부지방산림청,서울관리소,공원,북악산청운대 안내소 일대,2021,서울특별시,종로구,부암동 산2-1
126.839244,37.99016,불가능,북부지방산림청,서울관리소,DMZ,연천 25사단,2021,경기도,연천군,장남면 고량포리 산20
128.5956828506268,37.16735438185921,불가능,동부지방산림청,영월관리소,모델숲,대단위조림지,2012,강원특별자치도,영월군,산솔면 연상리 산1-3
129.1888604732694,37.21330450553041,불가능,동부지방산림청,삼척관리소,모델숲,문화재목재림,2012,강원특별자치도,삼척시,원덕읍 이천리 산322
128.3473899373773,38.59293405045348,불가능,동부지방산림청,양양관리소,DMZ,15소초,2012,강원특별자치도,고성군,현내면 명호리 산33
128.33788210959963,38.51720214344866,불가능,동부지방산림청,양양관리소,DMZ,9소초,2013,강원특별자치도,고성군,현내면 마달리 산1
