fire_id,위도,경도,고도(m),경사도(도),사면방향_sin,사면방향_cos,TPI(지형위치지수),TWI(지형다습지수)
F_000000,37.63510045170228,126.99758205559452,233.92538,19.85415316429321,-0.9982770361199308,-0.058676734363855586,-2.599762,5.503640651702881
F_000001,37.4507925535295,127.06916827308488,121.87208,8.362767766484248,0.05916716730678219,-0.9982480885595981,1.706253,2.0015785694122314
F_000002,37.68129016655618,127.01696540439966,274.50726,17.241868139898727,-0.8744211902435796,0.48516758141182675,0.7663269,1.4794979095458984
F_000003,37.502707074583576,127.1476360866065,39.532635,5.510313100205128,-0.42989267365338385,0.9028799970866257,0.18014526,2.7063724994659424
F_000004,37.61738177694373,127.03749420632153,76.686935,11.763593645964303,0.9329671968929256,0.3599614000441671,-0.1729126,1.3810189962387085
F_000005,37.64608364948532,126.9537530967595,283.1132,25.572214154226852,0.7161417409875478,-0.6979548744835328,9.086914,1.4488160610198975
F_000006,37.60794642726773,127.04327591997428,55.623585,9.875501225663662,-0.3100936773219623,0.9507060067575794,0.3334694,2.4811484813690186
F_000007,37.587113025524616,126.89141307204956,45.895824,9.517890533744328,-0.14385879426061382,0.9895982251974194,-2.3646927,4.699594020843506
F_000008,37.66989844813232,127.09160545266496,229.20012,30.232072002120642,0.9637032643657325,-0.26697568850146475,-7.6737366,2.7905449867248535
F_000009,37.48269800796141,126.99894630435088,53.52524,7.094619006738605,0.6594903418343786,0.7517130363557456,3.3895874,2.8037707805633545
F_000010,37.50081031511574,127.15649701481564,79.49881,9.622342142200413,-0.1861354832543729,0.9825240871722489,6.0275116,1.7362334728240967
F_000011,37.61986843671525,127.0411297642329,56.309757,10.577479788791992,-0.957329767106515,-0.2889977802886829,-1.0916519,4.250023365020752
F_000012,37.62949359709475,127.03334377566404,76.04435,10.274550445801207,-0.7544346136401747,-0.6563752080491769,0.7861862,2.972132682800293
F_000013,37.62415182884196,127.03884649144705,66.05452,6.192064424345017,0.8119058767091589,-0.5837883583672528,2.5617218,3.9096274375915527
F_000014,37.62949359709475,127.03334377566404,76.04435,10.274550445801207,-0.7544346136401747,-0.6563752080491769,0.7861862,2.972132682800293
F_000015,37.62509354737103,127.03511592701204,54.641544,7.869404581928345,-0.9849205855256672,-0.17300705247988293,-4.8142395,3.530670166015625
F_000016,37.61736842867098,127.0406380423295,74.42301,11.527694250457897,-0.9306491202413187,0.3659128516382822,0.7559128,2.686619997024536
F_000017,37.622832178568935,127.0554660282264,46.55847,4.541791223747467,0.5043659238340059,0.8634900201363475,3.352951,2.7900187969207764
F_000018,37.62252940951719,127.05454101515576,38.032276,6.131127490101801,0.8642225157752392,0.5031097725418544,-0.07783127,7.693926811218262
