소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
중부소방서_부산-부민-119 안전센터,35.1032303,129.0185845,부산광역시,서구,임시수도기념로 21-4(부민동3가),부산소방안전본부
중부소방서_부산-중부(부산)_중앙-119 안전센터,35.1072555,129.0369409,부산광역시,중구,중앙대로 110(중앙동4가),부산소방안전본부
강북소방서_서울-삼각산-119 안전센터,37.6198887,127.0155203,서울특별시,강북구,솔샘로 208 (미아동),서울소방재난본부
강북소방서_서울-미아-119 안전센터,37.6200208,127.0283102,서울특별시,강북구,도봉로 125 (미아동),서울소방재난본부
강북소방서_서울-우이-119 안전센터,37.6409197,127.0166031,서울특별시,강북구,삼각산로 111 (수유동),서울소방재난본부
구로소방서-구로_공단-119 안전센터,37.4842266,126.8984721,서울특별시,구로구,디지털로34길 56 (구로동),서울소방재난본부
구로소방서-신도림-119 안전센터,37.507329,126.8812109,서울특별시,구로구,경인로59길 57 (신도림동),서울소방재난본부
구로소방서-구로_시흥-119 안전센터,37.448568,126.9004798,서울특별시,금천구,시흥대로45길 31 (시흥동),서울소방재난본부
구로소방서-독산-119 안전센터,37.4679179,126.8982973,서울특별시,금천구,시흥대로 386 (독산동),서울소방재난본부
구로소방서-구로-119 안전센터,37.4942434,126.8825611,서울특별시,구로구,구로동로 175 (구로동),서울소방재난본부
구로소방서-고척-119 안전센터,37.5049261,126.8548668,서울특별시,구로구,고척로 195 (고척동),서울소방재난본부
구로소방서-수궁-119 안전센터,37.4962768,126.8295562,서울특별시,구로구,오리로 1285 (궁동),서울소방재난본부
구로소방서-고일-119 안전센터,37.4978258,126.8652844,서울특별시,구로구,경인로 408 (고척동),서울소방재난본부
송파소방서-가락-119 안전센터,37.4961026,127.1110027,서울특별시,송파구,양재대로 932 (가락동),서울소방재난본부
송파소방서-운동장-119 안전센터,37.5151707,127.0740482,서울특별시,송파구,올림픽로 25 (잠실동),서울소방재난본부
송파소방서-잠실-119 안전센터,37.5073324,127.0939009,서울특별시,송파구,석촌호수로 151 (잠실동),서울소방재난본부
송파소방서-방이-119 안전센터,37.5197783,127.1365886,서울특별시,송파구,강동대로 286 (방이동),서울소방재난본부
송파소방서-거여-119 안전센터,37.4941828,127.1518354,서울특별시,송파구,마천로 329 (마천동),서울소방재난본부
송파소방서-마천-119 안전센터,37.4998433,127.1425984,서울특별시,송파구,오금로51길 56 (마천동),서울소방재난본부
