aspect,count,percent,label_ko
N,4099,16.372423709857806,북향
NE,3601,14.38328806518613,북동향
E,3337,13.328806518613199,동향
SE,2185,8.727432497204028,남동향
S,1991,7.952548330404217,남향
SW,2407,9.614155615913084,남서향
W,4083,16.308515737338233,서향
NW,3333,13.312829525483306,북서향
