lat_grid,lon_grid,산불건수,평균취약점수,중앙취약점수,평균임도거리_km,평균소방서거리_km,평균소방용수거리_km,평균경사도,평균고도_m
33.0,126.0,18,25.74485259404354,25.828899743981495,6.978284655720663,3.809262388931263,1.3508398025238229,5.270945440649029,221.01890444444447
33.0,126.5,27,37.90332521935741,36.55169336733926,10.9852886763405,5.542775631304128,0.8504299436830215,6.462386445250157,197.39537492592592
33.5,126.0,5,69.36128426003037,68.27953929130805,29.563317514164844,56.63920388069438,0.4530206607956546,9.221283649317188,38.1481722
33.5,126.5,12,36.90835227573081,35.85004671739847,10.654959911600482,5.127739185563352,1.1903182312940392,1.8990106152541024,49.91583291333333
34.0,125.0,1,85.0,85.0,92.8331081824565,109.21662252528772,57.62731163005814,0.0,0.0
34.0,125.5,7,78.1367105747319,77.45875663422609,20.35517936162345,32.81097351952064,6.336408305970175,9.870926598678404,41.87014271428571
34.0,126.0,42,33.63568840099257,25.961136840629976,7.773107165267329,13.125310154815432,1.208297791969051,7.733028488941981,33.2762296
34.0,126.5,106,36.53077680188362,35.32392611204184,10.973105387712788,9.318687208112715,0.7169211532867834,7.63007708105466,48.60115461603774
34.0,127.0,33,47.145805046581636,45.923570604862,13.609088139070131,19.57343909458723,1.6257730423559194,7.836146391966494,49.042407139393944
34.0,127.5,2,59.98400448463166,59.98400448463166,13.871186707140819,27.30695809634622,1.2868234046108704,10.174643197628207,67.7460035
34.5,125.0,3,67.40808561168728,67.33538439523872,67.28037014148646,62.31533658942188,0.1743505673703898,5.738374210839513,14.659307333333333
34.5,125.5,13,64.38131634609333,61.67174254422477,32.02013184003271,19.386763353948545,1.4506419152915175,9.862710325817371,35.772388030769235
34.5,126.0,156,48.00331757285448,49.56991650435404,24.039451429243194,8.796679880537239,0.6623357977926101,6.003209014778719,30.676985781089744
34.5,126.5,346,28.28500053285458,27.08850024454071,8.261875753247173,7.771768081946683,0.903379965342304,7.101802643528359,76.41025933031793
34.5,127.0,267,29.312310702863275,28.91795997824596,6.089104143505994,6.596067487092575,1.4872179878976326,8.616971608184771,101.77566407490637
34.5,127.5,339,39.729900898123965,41.58561188860058,16.38983762828356,5.558279232338785,0.7037283683554395,8.609022949791084,72.3314690261357
34.5,128.0,211,26.536906219939123,24.639924562156487,7.536417780168883,6.223031676604673,0.5831173009222063,9.034487340417545,58.556595526113746
34.5,128.5,89,20.849499270788527,19.740144713081182,5.196172724955395,5.1987925447093986,0.5329627835601924,10.709615956298496,69.89990871910113
35.0,125.5,2,86.30550028096755,86.30550028096755,56.48340499870495,25.741170743891317,11.235193340208845,11.449297455119977,32.82873
35.0,126.0,123,37.30109467057721,35.23756031651425,16.760479904912145,7.466051342249612,0.8841985032080673,6.816589874668021,53.5934205695935
35.0,126.5,596,32.5879888012624,32.69604882648635,9.493176259534069,4.696531758741477,0.6138934331978951,7.386850040202774,91.10895759798657
35.0,127.0,376,31.669191974132534,30.124379742398023,8.803422946214658,6.26659338652525,0.959905006695901,8.970867263715284,174.29249140159575
35.0,127.5,464,27.477167227752307,26.525279232073075,4.679266892563745,8.244298401693676,2.3665299412195457,10.965993103488263,239.4763636086207
35.0,128.0,493,29.708895156395776,30.06690823331013,8.985951938886219,6.5506446150061235,1.0407777128590494,8.621776145358606,100.06879914401623
35.0,128.5,544,33.76917525505928,34.89747709896267,12.465692760329157,3.765815400027466,0.6110142346532568,10.559670725571028,99.50040748161764
35.0,129.0,851,25.31064843711599,23.64532259071254,9.925462964948174,2.6354469528437687,0.5435299157802231,10.959187632331991,143.79641975193888
35.5,126.0,25,56.45406069205858,59.159300721978575,20.68282642211211,16.297767638018414,1.8681595400062647,11.265980921630433,56.272741048
35.5,126.5,176,31.53283459249353,32.72477739892656,10.989382718890859,4.877079474962913,0.5644952835867103,5.034047115939691,46.33621331988636
35.5,127.0,315,26.703304687344072,26.306762263474397,6.165637743131074,7.351350113079296,0.8216860788240954,9.441586753266995,204.51716736031744
35.5,127.5,922,18.725769256649443,13.436263097132855,3.600649297199036,3.9915471312606767,0.7813297084123946,4.617358728480184,280.29485878524946
35.5,128.0,616,33.93675337799127,35.066104572245564,12.856706829212582,5.869126423667485,1.1741598842662635,7.790678621590413,129.33501680438312
35.5,128.5,699,42.132761275583746,43.60212992397171,18.726636387671025,4.920666780869073,1.0786813969543259,10.09468248834086,188.83838650357652
35.5,129.0,842,44.22201818015809,46.00808518539657,24.09961848730982,4.851077020834523,0.937923299845577,8.267267602524521,132.5998216162708
35.5,129.5,10,48.873331227041604,48.50197080213035,42.60072886984712,2.93557761472408,0.8071085285655801,7.282065112764341,53.4191895
36.0,125.5,2,68.61709838758517,68.61709838758517,59.783834976052205,49.57354372754144,0.5578471527256177,6.901366251401771,20.094866500000002
36.0,126.0,23,34.14320537405132,31.262796191337937,13.83556246710758,10.902774555044063,1.0861581774040732,3.2462545267860556,17.22246348695652
36.0,126.5,548,23.820020629219872,23.85424496441934,5.612295424982859,4.40176382697242,0.9361693856870494,5.809572654618809,67.07083767664234
36.0,127.0,836,22.98055155935916,22.775016810288015,6.552453237070069,4.455506944069632,0.9518834367273662,7.554652592555439,112.54035262559808
36.0,127.5,350,27.697254302675262,27.490751329712985,5.286902692667614,6.4305044362049495,1.3280862411041865,9.743788687352147,227.25951163428573
36.0,128.0,626,33.21664939066227,32.526404512335596,13.679913049579204,5.095574533741111,0.8088849814233681,6.789070077464964,119.00843835303516
36.0,128.5,490,42.19862927690591,43.05198152411046,14.759319591648236,9.500146292975955,1.3573044824664537,8.919642948352738,228.82804109183672
36.0,129.0,416,36.261222391901526,36.083339499852904,12.156519340743774,7.26409839995876,1.4331211776028425,8.654225110510858,157.06103939735578
36.0,129.5,6,46.92603283765407,46.73748550590864,37.55528541700165,6.286875623299242,0.5368732064703549,5.822944386246707,40.578510466666664
36.5,126.0,222,32.6007518170916,31.9140103895727,13.554416313702209,4.917488009213284,1.159570188487319,4.030933748343524,29.298690504054054
36.5,126.5,585,28.35995499598563,27.991965406515643,9.108226702011036,4.9843587652646955,1.1469509129663435,5.813347993870513,74.25651941008547
36.5,127.0,429,23.007725703196698,22.26060952370037,5.815338138044502,4.845583044327941,0.8267505074290276,6.656457497877488,107.33248544522144
36.5,127.5,279,24.357009205631314,23.66351092358377,4.020523890211808,7.095706657462337,1.3343677012516022,10.272577503443648,221.00089673476703
36.5,128.0,475,38.05713788010522,38.67663579524042,9.706513176253507,6.605589266446277,1.2037940442418669,9.198218795744253,223.7886501768421
36.5,128.5,783,36.09375410909428,35.75129189241294,11.056563262911284,7.068683319465582,0.9823007012889964,7.489729817554795,226.3690772669221
36.5,129.0,641,23.013133054822298,18.680249370124066,4.252548038851585,5.325433242642312,1.4806512874625526,9.347390792797535,273.3434883897504
37.0,126.0,44,53.397133694082214,49.26814330541454,46.51756315020596,10.827218758570396,0.7972995081097586,6.268345665462776,28.310301827272728
37.0,126.5,768,24.87784315495961,22.05787551926672,12.915107469075593,1.8495782709311648,0.6360156415723449,3.908762144630852,47.0060029208073
37.0,127.0,492,30.23663719493114,31.03921342406618,10.3456988210115,4.466281656864899,1.338490095617523,7.451289685161384,139.5484374004065
37.0,127.5,661,26.50897317524612,26.156954560039033,5.93131608955123,6.2116973121680585,1.8655001074286055,6.865938732259603,142.97026861270803
37.0,128.0,570,26.94676601451226,25.355094799222137,5.185996977912244,4.854715228516569,1.5047877149480293,8.442645630782133,356.8040891403509
37.0,128.5,329,25.92401265475126,22.61000255038352,3.1920693175181287,5.388784889919866,1.6038394946579673,10.926212931947077,502.4163343465045
37.0,129.0,382,25.122760106000083,22.215389888938287,4.1150661428433,4.929751635197329,1.8006426098814825,8.396350414299777,195.852887113089
37.0,130.5,20,54.215602955299666,54.879642530660504,143.21857100872336,1.8866749841816535,0.39709325370865944,16.60115854828373,162.9913609
37.5,124.5,6,51.87413392360332,52.111974228856496,198.1317552012307,3.9320086191255594,0.7864475266246611,6.604468927810871,47.84101483333333
37.5,125.5,7,69.83186366622131,67.51998355514425,115.22553229970563,61.1663240393367,1.066493522207996,6.672993022558782,47.45456142857143
37.5,126.0,168,51.75065565884017,51.43711965518788,45.819098650997546,5.423434451000922,0.6604169170346817,5.312577197603154,46.595341379761905
37.5,126.5,572,38.80272836677505,40.854074459753164,22.777665132060193,2.945682991235636,0.6843824214052123,6.347805755214354,76.50581811625874
37.5,127.0,893,25.847560158718686,24.00872502966137,8.109790260688584,3.7182674242285634,1.3351003652891125,7.726475205942331,138.23774465733482
37.5,127.5,682,25.25796099522914,23.064072402643735,3.443769092406429,8.05270335858606,2.0724925620489527,11.094345189680935,231.38779279325513
37.5,128.0,475,31.236547324994916,31.141472021128113,3.4903599713459443,7.7662648607030595,2.3318101903003168,10.510626278976627,493.3833816210526
37.5,128.5,456,24.746014789005102,23.725630651707633,4.047531157843975,6.568245780965565,1.2686167096424847,5.738033912668843,191.54998585811404
