fire_id,위도,경도,진화접근취약점수,접근취약등급,임도거리_km,소방서거리_km,소방용수거리_km,산불소화시설거리_km,고도(m),경사도(도),TPI(지형위치지수),TWI(지형다습지수)
F_005181,38.613117771363584,127.17499041776536,100.0,매우 높음,51.52493105562699,47.04414627707795,37.81173821733468,35.670420772022204,548.3667,30.641706484190767,-4.7546387,
F_005828,38.88459470767454,127.0880058535012,100.0,매우 높음,81.91406970844378,77.55734342863057,68.80042742902816,78.52880064648784,563.5188,32.42925315944531,10.974304,
F_005311,38.8483972541508,126.9074886456936,100.0,매우 높음,80.78249194795492,81.98423153039376,68.43048541513812,69.61910915630429,507.5269,30.833047365400184,0.6368103,
F_005122,38.18456019763662,126.56815315002568,100.0,매우 높음,48.2364504277681,41.051024100815404,28.58650137143069,30.311143804199247,567.9673,30.3596744279018,4.895752,
F_005326,39.08149254881282,126.99125127985432,100.0,매우 높음,104.62550221789267,101.08613836555158,91.6779726707829,101.502999771636,644.8412,33.78350104081776,-8.219238,
F_005943,39.08955018804496,127.11685549054752,100.0,매우 높음,133.59766301289122,98.08448622689153,90.16586921453,96.72053460141825,521.13196,30.50229018294769,-0.401062,
F_005342,39.08149254881282,126.99125127985432,100.0,매우 높음,104.62550221789267,101.08613836555158,91.6779726707829,101.502999771636,644.8412,33.78350104081776,-8.219238,
F_006525,38.90507656095807,126.93645526058955,100.0,매우 높음,86.23223683147143,85.84086664528321,73.6327394977428,88.840711592624,1102.4583,40.71719143928415,-4.795044,
F_006062,38.57877044996904,127.22187862958168,100.0,매우 높음,48.03219365617636,41.688653240243006,32.804781610660164,30.82061960924718,581.2991,30.07950998419418,4.309082,
F_005332,39.08149254881282,126.99125127985432,100.0,매우 높음,104.62550221789267,101.08613836555158,91.6779726707829,101.502999771636,644.8412,33.78350104081776,-8.219238,
F_006158,38.7283292385346,127.07937284049092,100.0,매우 높음,64.67683798546668,62.415205982666876,51.652099503266335,50.711980878283306,556.06445,33.72530880375668,-0.03277588,
F_005333,38.64549615449086,126.94864284725035,100.0,매우 높음,58.14148809718601,53.92964364396657,46.13570591365603,49.042398318990195,588.9394,31.635871741909803,14.9887085,
F_005307,39.0812853629794,126.99111262179886,100.0,매우 높음,104.60444276746593,101.06981953098764,91.65737749697418,101.49027285587593,644.8412,33.78350104081776,-8.219238,
F_005483,38.87407143122898,126.9218366049481,100.0,매우 높음,83.19849530513217,83.62424346988172,70.71921067892687,87.22190565764699,1010.73315,32.85417154941586,-4.864746,
F_005303,39.02816432422359,127.02715029842722,100.0,매우 높음,98.33038019447008,94.37464252944663,85.31628235920896,94.77988797417028,767.3226,30.271238833134475,-2.077942,
F_005387,38.954917461240285,127.11114269477628,99.65991117532059,매우 높음,89.59686914512078,84.04564265722465,75.73780044438266,83.88451424165274,823.73517,28.979733525961755,-4.0648804,
F_005357,38.87935172541237,126.85698373006728,99.623370567642,매우 높음,85.40159274417184,87.41382123214032,73.2579643768897,74.91096783788595,533.2211,28.87011170292601,-6.8358765,
F_005951,38.79679884749074,126.75671575272492,99.6161734,매우 높음,80.29793163918845,86.2453948583581,69.13570338946433,73.00527868062214,461.61734,30.11486221661399,7.5253906,
F_005047,38.73171357242828,126.8036977029443,99.5457022,매우 높음,71.95059820694775,68.66272096894582,60.773007877133224,64.84313316470033,454.57022,30.602963468763637,9.898499,
F_006347,38.83958725410711,126.85429907162508,99.52631761149443,매우 높음,81.29368809467914,84.03711881692264,69.27777110353259,71.34575080340383,619.0683,28.578952834483296,1.2745972,
F_006353,38.93873834906661,126.87875581916062,99.5179205536434,매우 높음,91.1473260544865,91.75141550562743,78.75971057998967,95.0853032294516,482.68665,29.073162160930234,-7.1410522,
F_005026,38.92736512118709,126.88236164482034,99.45457050775471,매우 높음,89.84270587351405,90.51500044901931,77.45909758936166,93.94176544203386,737.5017,28.363711523264115,20.017212,
F_005681,38.83732730911819,127.17146094264729,99.3428582078274,매우 높음,76.44168506546787,69.91524899950835,61.73579423726911,69.96003718824277,552.20544,28.02857462348222,6.791931,
F_000304,38.57648626332164,127.09076152557296,99.2689763559359,매우 높음,47.786504440198605,42.1821231899525,34.837754280667646,35.28010075359841,620.9208,27.80692906780769,6.8623047,
